id_commune;commune_gironde;;kilometrage_bordeaux;frais_livraison_euros;;
216;Langon;Langon;47;32,73;('Langon', 47, 32.73),;('Langon', 47, 32.73),
217;Lansac;Lansac;36;26,24;('Lansac', 36, 26.24),;('Lansac', 36, 26.24),
218;Lanton;Lanton;44;30,96;('Lanton', 44, 30.96),;('Lanton', 44, 30.96),
219;Lapouyade;Lapouyade;43;30,37;('Lapouyade', 43, 30.37),;('Lapouyade', 43, 30.37),
220;Laroque;Laroque;30;22,7;('Laroque', 30, 22.7),;('Laroque', 30, 22.7),
221;Lartigue;Lartigue;84;54,56;('Lartigue', 84, 54.56),;('Lartigue', 84, 54.56),
222;Laruscade;Laruscade;42;29,78;('Laruscade', 42, 29.78),;('Laruscade', 42, 29.78),
223;Latresne;Latresne;11;11,49;('Latresne', 11, 11.49),;('Latresne', 11, 11.49),
224;Lavazan;Lavazan;70;46,3;('Lavazan', 70, 46.3),;('Lavazan', 70, 46.3),
225;Le Barp;Le Barp;32;23,88;('Le Barp', 32, 23.88),;('Le Barp', 32, 23.88),
226;Le Bouscat;Le Bouscat;4;7,36;('Le Bouscat', 4, 7.36),;('Le Bouscat', 4, 7.36),
227;Le Fieu;Le Fieu;63;42,17;('Le Fieu', 63, 42.17),;('Le Fieu', 63, 42.17),
228;Le Haillan;Le Haillan;9;10,31;('Le Haillan', 9, 10.31),;('Le Haillan', 9, 10.31),
229;Le Nizan;Le Nizan;55;37,45;('Le Nizan', 55, 37.45),;('Le Nizan', 55, 37.45),
230;Le Pian-Médoc   ;Le Pian-Médoc;58;39,22;('Le Pian-Médoc   ', 58, 39.22),;('Le Pian-Médoc', 58, 39.22),
231;Le Pian-sur-Garonne   ;Le Pian-sur-Garonne;52;35,68;('Le Pian-sur-Garonne   ', 52, 35.68),;('Le Pian-sur-Garonne', 52, 35.68),
232;Le Porge;Le Porge;44;30,96;('Le Porge', 44, 30.96),;('Le Porge', 44, 30.96),
233;Le Pout;Le Pout;25;19,75;('Le Pout', 25, 19.75),;('Le Pout', 25, 19.75),
234;Le Puy;Le Puy;66;43,94;('Le Puy', 66, 43.94),;('Le Puy', 66, 43.94),
235;Le Taillan-Médoc ;Le Taillan-Médoc;11;11,49;('Le Taillan-Médoc ', 11, 11.49),;('Le Taillan-Médoc', 11, 11.49),
236;Le Teich;Le Teich;52;35,68;('Le Teich', 52, 35.68),;('Le Teich', 52, 35.68),
237;Le Temple;Le Temple;36;26,24;('Le Temple', 36, 26.24),;('Le Temple', 36, 26.24),
238;Le Tourne;Le Tourne;24;19,16;('Le Tourne', 24, 19.16),;('Le Tourne', 24, 19.16),
239;Le Tuzan;Le Tuzan;48;33,32;('Le Tuzan', 48, 33.32),;('Le Tuzan', 48, 33.32),
240;Le Verdon-sur-Mer;Le Verdon-sur-Mer;98;62,82;('Le Verdon-sur-Mer', 98, 62.82),;('Le Verdon-sur-Mer', 98, 62.82),
241;Lège-Cap-Ferret;Lège-Cap-Ferret;49;33,91;('Lège-Cap-Ferret', 49, 33.91),;('Lège-Cap-Ferret', 49, 33.91),
242;Léogeats;Léogeats;48;33,32;('Léogeats', 48, 33.32),;('Léogeats', 48, 33.32),
243;Léognan;Léognan;14;13,26;('Léognan', 14, 13.26),;('Léognan', 14, 13.26),
244;Lerm-et-Musset ;Lerm-et-Musset;73;48,07;('Lerm-et-Musset ', 73, 48.07),;('Lerm-et-Musset', 73, 48.07),
245;Les Artigues-de-Lussac   ;Les Artigues-de-Lussac;43;30,37;('Les Artigues-de-Lussac   ', 43, 30.37),;('Les Artigues-de-Lussac', 43, 30.37),
246;Les Billaux;Les Billaux;37;26,83;('Les Billaux', 37, 26.83),;('Les Billaux', 37, 26.83),
